"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","GISS-E2-H-CC","gbm"
100,"SST","DMS","summer","GISS-E2-H-CC","gbm"
39.3745502960556,"WINu","DMS","summer","GISS-E2-H-CC","gbm"
43.6821820250291,"WINv","DMS","summer","GISS-E2-H-CC","gbm"
16.1862813400382,"WIN","DMS","summer","GISS-E2-H-CC","gbm"
52.527095824822,"CURu","DMS","summer","GISS-E2-H-CC","gbm"
71.3182548071147,"CURv","DMS","summer","GISS-E2-H-CC","gbm"
26.6399646733969,"CUR","DMS","summer","GISS-E2-H-CC","gbm"
20.1207072186756,"SSTg","DMS","summer","GISS-E2-H-CC","gbm"
96.6825487280718,"DEP","DMS","summer","GISS-E2-H-CC","gbm"
