"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","DMS","summer","GISS-E2-H-CC","svm"
100,100,"SST","DMS","summer","GISS-E2-H-CC","svm"
82.9768217390544,82.9768217390544,"WINu","DMS","summer","GISS-E2-H-CC","svm"
41.7119045030507,41.7119045030507,"WINv","DMS","summer","GISS-E2-H-CC","svm"
80.632376594568,80.632376594568,"WIN","DMS","summer","GISS-E2-H-CC","svm"
26.2197528946229,26.2197528946229,"CURu","DMS","summer","GISS-E2-H-CC","svm"
25.7955007926643,25.7955007926643,"CURv","DMS","summer","GISS-E2-H-CC","svm"
60.2091924903934,60.2091924903934,"CUR","DMS","summer","GISS-E2-H-CC","svm"
59.7915295415768,59.7915295415768,"SSTg","DMS","summer","GISS-E2-H-CC","svm"
50.6504477115565,50.6504477115565,"DEP","DMS","summer","GISS-E2-H-CC","svm"
