"Overall","variable","sp","season","climate","method"
4.70549536692016,"ICE","DMS","winter","ACCESS1-0","ann"
62.1776075372437,"SST","DMS","winter","ACCESS1-0","ann"
83.761140810624,"WINu","DMS","winter","ACCESS1-0","ann"
78.6408956256008,"WINv","DMS","winter","ACCESS1-0","ann"
64.3242227920708,"WIN","DMS","winter","ACCESS1-0","ann"
61.7251272805023,"CURu","DMS","winter","ACCESS1-0","ann"
40.2508476381581,"CURv","DMS","winter","ACCESS1-0","ann"
38.5116297928197,"CUR","DMS","winter","ACCESS1-0","ann"
19.0688636715903,"SSH","DMS","winter","ACCESS1-0","ann"
2.06771246085279,"SSHg","DMS","winter","ACCESS1-0","ann"
0,"SSTg","DMS","winter","ACCESS1-0","ann"
100,"DEP","DMS","winter","ACCESS1-0","ann"
