"Overall","variable","sp","climate","season","method"
0,"ICE","DMS","ACCESS1-0","winter","rf"
76.3486828197911,"SST","DMS","ACCESS1-0","winter","rf"
19.4318863118398,"SSTg","DMS","ACCESS1-0","winter","rf"
17.3577079230166,"WINu","DMS","ACCESS1-0","winter","rf"
21.9171569377494,"WINv","DMS","ACCESS1-0","winter","rf"
22.4694005490226,"CURu","DMS","ACCESS1-0","winter","rf"
19.652235016871,"CURv","DMS","ACCESS1-0","winter","rf"
100,"SSH","DMS","ACCESS1-0","winter","rf"
18.3200001397747,"SSHg","DMS","ACCESS1-0","winter","rf"
34.754009119382,"DEP","DMS","ACCESS1-0","winter","rf"
