"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","winter","BCC-CSM1.1","gam"
0,"WIN","DMS","winter","BCC-CSM1.1","gam"
0,"WINu","DMS","winter","BCC-CSM1.1","gam"
NA,"WINv","DMS","winter","BCC-CSM1.1","gam"
0,"DEP","DMS","winter","BCC-CSM1.1","gam"
0,"CURu","DMS","winter","BCC-CSM1.1","gam"
NA,"CURv","DMS","winter","BCC-CSM1.1","gam"
0,"CUR","DMS","winter","BCC-CSM1.1","gam"
NA,"SST","DMS","winter","BCC-CSM1.1","gam"
NA,"SSH","DMS","winter","BCC-CSM1.1","gam"
0,"SSHg","DMS","winter","BCC-CSM1.1","gam"
NA,"SSTg","DMS","winter","BCC-CSM1.1","gam"
