"Obs","Sim","variable","sp","season","climate","method"
43.7619248061265,43.7619248061265,"ICE","DMS","winter","BCC-CSM1.1","svm"
97.2348064236619,97.2348064236619,"SST","DMS","winter","BCC-CSM1.1","svm"
3.75736436770521,3.75736436770521,"WINu","DMS","winter","BCC-CSM1.1","svm"
7.18993448369608,7.18993448369608,"WINv","DMS","winter","BCC-CSM1.1","svm"
10.409217156829,10.409217156829,"WIN","DMS","winter","BCC-CSM1.1","svm"
17.3085950605897,17.3085950605897,"CURu","DMS","winter","BCC-CSM1.1","svm"
10.9031663787197,10.9031663787197,"CURv","DMS","winter","BCC-CSM1.1","svm"
10.8153089158232,10.8153089158232,"CUR","DMS","winter","BCC-CSM1.1","svm"
100,100,"SSH","DMS","winter","BCC-CSM1.1","svm"
0,0,"SSHg","DMS","winter","BCC-CSM1.1","svm"
44.2777032368549,44.2777032368549,"SSTg","DMS","winter","BCC-CSM1.1","svm"
2.99442843443962,2.99442843443962,"DEP","DMS","winter","BCC-CSM1.1","svm"
