"Overall","variable","sp","climate","season","method"
0,"ICE","DMS","CMCC-CM","winter","gbm"
54.862945156471,"SST","DMS","CMCC-CM","winter","gbm"
12.0700229347414,"SSTg","DMS","CMCC-CM","winter","gbm"
6.78545680659937,"WIN","DMS","CMCC-CM","winter","gbm"
8.660665413117,"WINu","DMS","CMCC-CM","winter","gbm"
11.9526642452435,"WINv","DMS","CMCC-CM","winter","gbm"
6.36567936587876,"CUR","DMS","CMCC-CM","winter","gbm"
15.423471993315,"CURu","DMS","CMCC-CM","winter","gbm"
10.8450278426003,"CURv","DMS","CMCC-CM","winter","gbm"
100,"SSH","DMS","CMCC-CM","winter","gbm"
10.0978836553803,"SSHg","DMS","CMCC-CM","winter","gbm"
7.51499412723943,"DEP","DMS","CMCC-CM","winter","gbm"
