"Overall","variable","sp","climate","season","method"
0,"ICE","DMS","CanESM2","winter","gbm"
61.2040592461788,"SST","DMS","CanESM2","winter","gbm"
2.17237637094777,"SSTg","DMS","CanESM2","winter","gbm"
0.655369161452507,"WIN","DMS","CanESM2","winter","gbm"
3.98773607866055,"WINu","DMS","CanESM2","winter","gbm"
4.92165739500401,"WINv","DMS","CanESM2","winter","gbm"
1.32427445080512,"CUR","DMS","CanESM2","winter","gbm"
4.75420970156057,"CURu","DMS","CanESM2","winter","gbm"
5.7121136004088,"CURv","DMS","CanESM2","winter","gbm"
100,"SSH","DMS","CanESM2","winter","gbm"
0.763507816442508,"SSHg","DMS","CanESM2","winter","gbm"
1.26803205010434,"DEP","DMS","CanESM2","winter","gbm"
