"Overall","variable","sp","season","climate","method"
8.53438212365712,"ICE","DMS","winter","EC-EARTH","ann"
30.1891876765778,"SST","DMS","winter","EC-EARTH","ann"
30.1284871592106,"WINu","DMS","winter","EC-EARTH","ann"
70.5908458492804,"WINv","DMS","winter","EC-EARTH","ann"
46.3487826292887,"WIN","DMS","winter","EC-EARTH","ann"
21.5935450563871,"CURu","DMS","winter","EC-EARTH","ann"
21.8073229647336,"CURv","DMS","winter","EC-EARTH","ann"
19.0893612283601,"CUR","DMS","winter","EC-EARTH","ann"
100,"SSH","DMS","winter","EC-EARTH","ann"
4.37596178162181,"SSHg","DMS","winter","EC-EARTH","ann"
6.71466575645943,"SSTg","DMS","winter","EC-EARTH","ann"
0,"DEP","DMS","winter","EC-EARTH","ann"
