"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","winter","EC-EARTH","gam"
0,"DEP","DMS","winter","EC-EARTH","gam"
NA,"WINu","DMS","winter","EC-EARTH","gam"
NA,"WIN","DMS","winter","EC-EARTH","gam"
0,"WINv","DMS","winter","EC-EARTH","gam"
NA,"CURv","DMS","winter","EC-EARTH","gam"
NA,"CURu","DMS","winter","EC-EARTH","gam"
NA,"CUR","DMS","winter","EC-EARTH","gam"
NA,"SSH","DMS","winter","EC-EARTH","gam"
NA,"SSHg","DMS","winter","EC-EARTH","gam"
NA,"SST","DMS","winter","EC-EARTH","gam"
NA,"SSTg","DMS","winter","EC-EARTH","gam"
