"Overall","variable","sp","season","climate","method"
0,"WIN","DMS","winter","MIROC-ESM","gam"
0,"WINu","DMS","winter","MIROC-ESM","gam"
0,"WINv","DMS","winter","MIROC-ESM","gam"
0,"DEP","DMS","winter","MIROC-ESM","gam"
0,"CURu","DMS","winter","MIROC-ESM","gam"
NA,"CURv","DMS","winter","MIROC-ESM","gam"
0,"CUR","DMS","winter","MIROC-ESM","gam"
NA,"SST","DMS","winter","MIROC-ESM","gam"
NA,"SSH","DMS","winter","MIROC-ESM","gam"
0,"SSHg","DMS","winter","MIROC-ESM","gam"
NA,"SSTg","DMS","winter","MIROC-ESM","gam"
