"Overall","variable","sp","climate","season","method"
0,"ICE","DMS","MIROC-ESM","winter","rf"
83.5819527687205,"SST","DMS","MIROC-ESM","winter","rf"
18.4379192651138,"SSTg","DMS","MIROC-ESM","winter","rf"
20.4353978095065,"WINu","DMS","MIROC-ESM","winter","rf"
29.1719430930662,"WINv","DMS","MIROC-ESM","winter","rf"
26.5147343872069,"CURu","DMS","MIROC-ESM","winter","rf"
23.9823028159276,"CURv","DMS","MIROC-ESM","winter","rf"
100,"SSH","DMS","MIROC-ESM","winter","rf"
17.8241711287803,"SSHg","DMS","MIROC-ESM","winter","rf"
36.3058515039698,"DEP","DMS","MIROC-ESM","winter","rf"
