"Overall","variable","sp","season","climate","method"
18.4939667157604,"ICE","DMS","winter","NorESM1-M","ann"
100,"SST","DMS","winter","NorESM1-M","ann"
30.5477966456597,"WINu","DMS","winter","NorESM1-M","ann"
16.9095971069517,"WINv","DMS","winter","NorESM1-M","ann"
41.9706403836671,"WIN","DMS","winter","NorESM1-M","ann"
34.4822979613734,"CURu","DMS","winter","NorESM1-M","ann"
19.0133524660844,"CURv","DMS","winter","NorESM1-M","ann"
56.9328478845629,"CUR","DMS","winter","NorESM1-M","ann"
25.8413129839747,"SSH","DMS","winter","NorESM1-M","ann"
9.39187866079414,"SSHg","DMS","winter","NorESM1-M","ann"
0,"SSTg","DMS","winter","NorESM1-M","ann"
2.66336636029639,"DEP","DMS","winter","NorESM1-M","ann"
