"Overall","variable","sp","season","climate","method"
NA,"ICE","DMS","winter","NorESM1-M","gam"
NA,"WINu","DMS","winter","NorESM1-M","gam"
NA,"WINv","DMS","winter","NorESM1-M","gam"
NA,"WIN","DMS","winter","NorESM1-M","gam"
0,"DEP","DMS","winter","NorESM1-M","gam"
NA,"SST","DMS","winter","NorESM1-M","gam"
NA,"CURu","DMS","winter","NorESM1-M","gam"
NA,"SSHg","DMS","winter","NorESM1-M","gam"
NA,"SSTg","DMS","winter","NorESM1-M","gam"
NA,"SSH","DMS","winter","NorESM1-M","gam"
NA,"CURv","DMS","winter","NorESM1-M","gam"
0,"CUR","DMS","winter","NorESM1-M","gam"
