"Overall","variable","sp","season","climate","method"
0,"ICE","GHA","summer","ACCESS1-0","rf"
54.7172695610408,"SST","GHA","summer","ACCESS1-0","rf"
29.7816995920624,"WINu","GHA","summer","ACCESS1-0","rf"
30.2056162333103,"WINv","GHA","summer","ACCESS1-0","rf"
29.3412106915719,"WIN","GHA","summer","ACCESS1-0","rf"
54.34822567669,"CURu","GHA","summer","ACCESS1-0","rf"
58.4769236169697,"CURv","GHA","summer","ACCESS1-0","rf"
43.3820996001379,"CUR","GHA","summer","ACCESS1-0","rf"
50.4540328860554,"SSH","GHA","summer","ACCESS1-0","rf"
52.5319666770785,"SSHg","GHA","summer","ACCESS1-0","rf"
38.618259770086,"SSTg","GHA","summer","ACCESS1-0","rf"
100,"DEP","GHA","summer","ACCESS1-0","rf"
