"Overall","variable","sp","season","climate","method"
0,"ICE","GHA","summer","BCC-CSM1.1","rf"
53.0482860930288,"SST","GHA","summer","BCC-CSM1.1","rf"
31.0641127952758,"WINu","GHA","summer","BCC-CSM1.1","rf"
31.6573668811717,"WINv","GHA","summer","BCC-CSM1.1","rf"
32.0678223865623,"WIN","GHA","summer","BCC-CSM1.1","rf"
53.9781196175534,"CURu","GHA","summer","BCC-CSM1.1","rf"
53.7473173627008,"CURv","GHA","summer","BCC-CSM1.1","rf"
51.1690252748413,"CUR","GHA","summer","BCC-CSM1.1","rf"
42.1136456372266,"SSH","GHA","summer","BCC-CSM1.1","rf"
61.7522887820021,"SSHg","GHA","summer","BCC-CSM1.1","rf"
40.0978220659351,"SSTg","GHA","summer","BCC-CSM1.1","rf"
100,"DEP","GHA","summer","BCC-CSM1.1","rf"
