"Overall","variable","sp","season","climate","method"
0,"ICE","GHA","summer","MIROC-ESM","rf"
66.9726337474546,"SST","GHA","summer","MIROC-ESM","rf"
27.999680435914,"WINu","GHA","summer","MIROC-ESM","rf"
29.3387073057013,"WINv","GHA","summer","MIROC-ESM","rf"
32.2761018550525,"WIN","GHA","summer","MIROC-ESM","rf"
42.040344181191,"CURu","GHA","summer","MIROC-ESM","rf"
48.8615708192254,"CURv","GHA","summer","MIROC-ESM","rf"
39.2942446649304,"CUR","GHA","summer","MIROC-ESM","rf"
77.4256837025651,"SSH","GHA","summer","MIROC-ESM","rf"
65.0930605544029,"SSHg","GHA","summer","MIROC-ESM","rf"
48.5960647913822,"SSTg","GHA","summer","MIROC-ESM","rf"
100,"DEP","GHA","summer","MIROC-ESM","rf"
