"Overall","variable","sp","season","climate","method"
0,"ICE","GHA","summer","NorESM1-M","rf"
56.1711473530886,"SST","GHA","summer","NorESM1-M","rf"
45.2476760196821,"WINu","GHA","summer","NorESM1-M","rf"
30.0060375945319,"WINv","GHA","summer","NorESM1-M","rf"
39.0732620456755,"WIN","GHA","summer","NorESM1-M","rf"
38.8235830822405,"CURu","GHA","summer","NorESM1-M","rf"
37.681574062362,"CURv","GHA","summer","NorESM1-M","rf"
48.078512439165,"CUR","GHA","summer","NorESM1-M","rf"
57.1878861240004,"SSH","GHA","summer","NorESM1-M","rf"
30.7591632033339,"SSHg","GHA","summer","NorESM1-M","rf"
56.6929615956714,"SSTg","GHA","summer","NorESM1-M","rf"
100,"DEP","GHA","summer","NorESM1-M","rf"
