"Overall","variable","sp","season","climate","method"
0,"ICE","IYA","summer","ACCESS1-0","gbm"
11.8791755410243,"SST","IYA","summer","ACCESS1-0","gbm"
25.9857383919448,"WINu","IYA","summer","ACCESS1-0","gbm"
39.1011186006793,"WINv","IYA","summer","ACCESS1-0","gbm"
12.0929093170939,"WIN","IYA","summer","ACCESS1-0","gbm"
22.4885695610419,"CURu","IYA","summer","ACCESS1-0","gbm"
28.4259549353204,"CURv","IYA","summer","ACCESS1-0","gbm"
11.901354998202,"CUR","IYA","summer","ACCESS1-0","gbm"
100,"SSH","IYA","summer","ACCESS1-0","gbm"
14.7583179491101,"SSHg","IYA","summer","ACCESS1-0","gbm"
29.6588182760212,"SSTg","IYA","summer","ACCESS1-0","gbm"
35.9470556869531,"DEP","IYA","summer","ACCESS1-0","gbm"
