"Overall","variable","sp","season","climate","method"
0,"ICE","IYA","summer","CMCC-CM","rf"
64.4105029522826,"SST","IYA","summer","CMCC-CM","rf"
43.3699655885321,"WINu","IYA","summer","CMCC-CM","rf"
59.9456954425469,"WINv","IYA","summer","CMCC-CM","rf"
34.6879632158188,"WIN","IYA","summer","CMCC-CM","rf"
43.8297862109051,"CURu","IYA","summer","CMCC-CM","rf"
23.5143407534303,"CURv","IYA","summer","CMCC-CM","rf"
35.326075487544,"CUR","IYA","summer","CMCC-CM","rf"
100,"SSH","IYA","summer","CMCC-CM","rf"
26.7191103698263,"SSHg","IYA","summer","CMCC-CM","rf"
60.0682865319494,"SSTg","IYA","summer","CMCC-CM","rf"
72.0371139696466,"DEP","IYA","summer","CMCC-CM","rf"
