"Overall","variable","sp","climate","season","method"
0,"ICE","IYA","EC-EARTH","summer","gbm"
21.7619022052916,"SST","IYA","EC-EARTH","summer","gbm"
41.3181538121365,"SSTg","IYA","EC-EARTH","summer","gbm"
27.953259208407,"WINu","IYA","EC-EARTH","summer","gbm"
56.509388064849,"WINv","IYA","EC-EARTH","summer","gbm"
40.9915609547576,"CURu","IYA","EC-EARTH","summer","gbm"
44.1940565000279,"CURv","IYA","EC-EARTH","summer","gbm"
91.3752208491816,"SSH","IYA","EC-EARTH","summer","gbm"
27.7970819325612,"SSHg","IYA","EC-EARTH","summer","gbm"
100,"DEP","IYA","EC-EARTH","summer","gbm"
