"Overall","variable","sp","season","climate","method"
0,"ICE","IYA","summer","EC-EARTH","rf"
94.8859314329481,"SST","IYA","summer","EC-EARTH","rf"
36.7782841235972,"WINu","IYA","summer","EC-EARTH","rf"
67.0604583940615,"WINv","IYA","summer","EC-EARTH","rf"
32.8288357585358,"WIN","IYA","summer","EC-EARTH","rf"
45.0683493137408,"CURu","IYA","summer","EC-EARTH","rf"
28.5449523542535,"CURv","IYA","summer","EC-EARTH","rf"
30.335020121994,"CUR","IYA","summer","EC-EARTH","rf"
100,"SSH","IYA","summer","EC-EARTH","rf"
41.6136026678907,"SSHg","IYA","summer","EC-EARTH","rf"
65.5431818261022,"SSTg","IYA","summer","EC-EARTH","rf"
51.4599701404656,"DEP","IYA","summer","EC-EARTH","rf"
