"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","IYA","summer","GISS-E2-H-CC","svm"
100,100,"SST","IYA","summer","GISS-E2-H-CC","svm"
35.1413236925797,35.1413236925797,"WINu","IYA","summer","GISS-E2-H-CC","svm"
56.1349199388989,56.1349199388989,"WINv","IYA","summer","GISS-E2-H-CC","svm"
39.2870746447219,39.2870746447219,"WIN","IYA","summer","GISS-E2-H-CC","svm"
28.0625078263495,28.0625078263495,"CURu","IYA","summer","GISS-E2-H-CC","svm"
7.24352370942136,7.24352370942136,"CURv","IYA","summer","GISS-E2-H-CC","svm"
17.0588022271118,17.0588022271118,"CUR","IYA","summer","GISS-E2-H-CC","svm"
69.8118229253247,69.8118229253247,"SSTg","IYA","summer","GISS-E2-H-CC","svm"
40.6518591043296,40.6518591043296,"DEP","IYA","summer","GISS-E2-H-CC","svm"
