"Overall","variable","sp","season","climate","method"
27.9925203692527,"ICE","IYA","summer","MIROC-ESM","ann"
16.5072945155219,"SST","IYA","summer","MIROC-ESM","ann"
10.0319806781456,"WINu","IYA","summer","MIROC-ESM","ann"
50.0215142088468,"WINv","IYA","summer","MIROC-ESM","ann"
20.1452406964127,"WIN","IYA","summer","MIROC-ESM","ann"
3.77016233151451,"CURu","IYA","summer","MIROC-ESM","ann"
29.8658560715803,"CURv","IYA","summer","MIROC-ESM","ann"
13.0522175381931,"CUR","IYA","summer","MIROC-ESM","ann"
4.1738540168318,"SSH","IYA","summer","MIROC-ESM","ann"
12.170641643729,"SSHg","IYA","summer","MIROC-ESM","ann"
0,"SSTg","IYA","summer","MIROC-ESM","ann"
100,"DEP","IYA","summer","MIROC-ESM","ann"
