"Obs","Sim","variable","sp","season","climate","method"
5.98769207784442,5.98769207784442,"ICE","IYA","summer","MIROC-ESM","svm"
98.3363461222575,98.3363461222575,"SST","IYA","summer","MIROC-ESM","svm"
15.128711885141,15.128711885141,"WINu","IYA","summer","MIROC-ESM","svm"
18.7320101159023,18.7320101159023,"WINv","IYA","summer","MIROC-ESM","svm"
15.12975608659,15.12975608659,"WIN","IYA","summer","MIROC-ESM","svm"
0,0,"CURu","IYA","summer","MIROC-ESM","svm"
34.9930379876471,34.9930379876471,"CURv","IYA","summer","MIROC-ESM","svm"
41.973364027501,41.973364027501,"CUR","IYA","summer","MIROC-ESM","svm"
100,100,"SSH","IYA","summer","MIROC-ESM","svm"
42.6111703048385,42.6111703048385,"SSHg","IYA","summer","MIROC-ESM","svm"
78.0918503691453,78.0918503691453,"SSTg","IYA","summer","MIROC-ESM","svm"
44.2755470912764,44.2755470912764,"DEP","IYA","summer","MIROC-ESM","svm"
