"Overall","variable","sp","season","climate","method"
59.7274784571352,"ICE","IYA","summer","NorESM1-M","ann"
27.7976172372611,"SST","IYA","summer","NorESM1-M","ann"
9.39552643141769,"WINu","IYA","summer","NorESM1-M","ann"
37.6109483087214,"WINv","IYA","summer","NorESM1-M","ann"
0,"WIN","IYA","summer","NorESM1-M","ann"
21.5518301200165,"CURu","IYA","summer","NorESM1-M","ann"
20.6819594607419,"CURv","IYA","summer","NorESM1-M","ann"
22.2355393075366,"CUR","IYA","summer","NorESM1-M","ann"
43.8222933668001,"SSH","IYA","summer","NorESM1-M","ann"
7.71581477209983,"SSHg","IYA","summer","NorESM1-M","ann"
19.5858340084595,"SSTg","IYA","summer","NorESM1-M","ann"
100,"DEP","IYA","summer","NorESM1-M","ann"
