"Overall","variable","sp","climate","season","method"
0,"ICE","IYA","NorESM1-M","summer","gbm"
7.95984236159679,"SST","IYA","NorESM1-M","summer","gbm"
16.5572199662509,"SSTg","IYA","NorESM1-M","summer","gbm"
6.67966619532152,"WINu","IYA","NorESM1-M","summer","gbm"
15.071182241297,"WINv","IYA","NorESM1-M","summer","gbm"
24.1043201265813,"CURu","IYA","NorESM1-M","summer","gbm"
20.6880895399273,"CURv","IYA","NorESM1-M","summer","gbm"
33.281178208704,"SSH","IYA","NorESM1-M","summer","gbm"
10.1141866976918,"SSHg","IYA","NorESM1-M","summer","gbm"
100,"DEP","IYA","NorESM1-M","summer","gbm"
