"Overall","variable","sp","season","climate","method"
0,"ICE","IYA","summer","NorESM1-M","rf"
88.1628754670385,"SST","IYA","summer","NorESM1-M","rf"
18.7883283801326,"WINu","IYA","summer","NorESM1-M","rf"
64.1379073716523,"WINv","IYA","summer","NorESM1-M","rf"
24.4286895941491,"WIN","IYA","summer","NorESM1-M","rf"
65.9920460344258,"CURu","IYA","summer","NorESM1-M","rf"
18.068980077051,"CURv","IYA","summer","NorESM1-M","rf"
28.0650609394327,"CUR","IYA","summer","NorESM1-M","rf"
100,"SSH","IYA","summer","NorESM1-M","rf"
19.0757003587234,"SSHg","IYA","summer","NorESM1-M","rf"
39.0061611934912,"SSTg","IYA","summer","NorESM1-M","rf"
40.9436575607258,"DEP","IYA","summer","NorESM1-M","rf"
