"Overall","variable","sp","climate","season","method"
0,"ICE","IYA","ACCESS1-0","winter","gbm"
77.112484632785,"SST","IYA","ACCESS1-0","winter","gbm"
21.4078476300388,"SSTg","IYA","ACCESS1-0","winter","gbm"
32.2491898887343,"WIN","IYA","ACCESS1-0","winter","gbm"
22.7877922690894,"WINu","IYA","ACCESS1-0","winter","gbm"
23.4525182687302,"WINv","IYA","ACCESS1-0","winter","gbm"
11.4364866748603,"CUR","IYA","ACCESS1-0","winter","gbm"
18.1985074112726,"CURu","IYA","ACCESS1-0","winter","gbm"
12.7979484244286,"CURv","IYA","ACCESS1-0","winter","gbm"
100,"SSH","IYA","ACCESS1-0","winter","gbm"
43.1940926293639,"SSHg","IYA","ACCESS1-0","winter","gbm"
24.9103502665193,"DEP","IYA","ACCESS1-0","winter","gbm"
