"Overall","variable","sp","climate","season","method"
0,"ICE","IYA","CanESM2","winter","rf"
100,"SST","IYA","CanESM2","winter","rf"
38.1706691723327,"SSTg","IYA","CanESM2","winter","rf"
52.4326519967824,"WINu","IYA","CanESM2","winter","rf"
59.7792196338783,"WINv","IYA","CanESM2","winter","rf"
84.2084140690824,"CURu","IYA","CanESM2","winter","rf"
31.8446428483979,"CURv","IYA","CanESM2","winter","rf"
94.6769159434773,"SSH","IYA","CanESM2","winter","rf"
46.9783196680778,"SSHg","IYA","CanESM2","winter","rf"
70.497769088485,"DEP","IYA","CanESM2","winter","rf"
