"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","IYA","winter","CanESM2","svm"
100,100,"SST","IYA","winter","CanESM2","svm"
87.5778621975615,87.5778621975615,"WINu","IYA","winter","CanESM2","svm"
92.8110828226372,92.8110828226372,"WINv","IYA","winter","CanESM2","svm"
83.0421571449253,83.0421571449253,"WIN","IYA","winter","CanESM2","svm"
49.0561369560405,49.0561369560405,"CURu","IYA","winter","CanESM2","svm"
70.7788124101056,70.7788124101056,"CURv","IYA","winter","CanESM2","svm"
35.4335344732395,35.4335344732395,"CUR","IYA","winter","CanESM2","svm"
77.1019648899415,77.1019648899415,"SSH","IYA","winter","CanESM2","svm"
55.0457209470969,55.0457209470969,"SSHg","IYA","winter","CanESM2","svm"
66.9523015649876,66.9523015649876,"SSTg","IYA","winter","CanESM2","svm"
64.5657431890372,64.5657431890372,"DEP","IYA","winter","CanESM2","svm"
