"Overall","variable","sp","climate","season","method"
0,"ICE","IYA","EC-EARTH","winter","gbm"
100,"SST","IYA","EC-EARTH","winter","gbm"
12.0895769179839,"SSTg","IYA","EC-EARTH","winter","gbm"
4.81033260451669,"WIN","IYA","EC-EARTH","winter","gbm"
8.52919226748401,"WINu","IYA","EC-EARTH","winter","gbm"
14.4641987561015,"WINv","IYA","EC-EARTH","winter","gbm"
6.44729814860773,"CUR","IYA","EC-EARTH","winter","gbm"
9.11648486469605,"CURu","IYA","EC-EARTH","winter","gbm"
9.72665032383883,"CURv","IYA","EC-EARTH","winter","gbm"
29.0542021996077,"SSH","IYA","EC-EARTH","winter","gbm"
20.8501348025426,"SSHg","IYA","EC-EARTH","winter","gbm"
14.0538221265996,"DEP","IYA","EC-EARTH","winter","gbm"
