"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","IYA","winter","EC-EARTH","svm"
100,100,"SST","IYA","winter","EC-EARTH","svm"
83.8111226473552,83.8111226473552,"WINu","IYA","winter","EC-EARTH","svm"
85.9045331715028,85.9045331715028,"WINv","IYA","winter","EC-EARTH","svm"
74.4027177710739,74.4027177710739,"WIN","IYA","winter","EC-EARTH","svm"
43.9580341076743,43.9580341076743,"CURu","IYA","winter","EC-EARTH","svm"
55.6327315974864,55.6327315974864,"CURv","IYA","winter","EC-EARTH","svm"
66.6742974835892,66.6742974835892,"CUR","IYA","winter","EC-EARTH","svm"
65.778791342305,65.778791342305,"SSH","IYA","winter","EC-EARTH","svm"
74.589961307188,74.589961307188,"SSHg","IYA","winter","EC-EARTH","svm"
48.794356316126,48.794356316126,"SSTg","IYA","winter","EC-EARTH","svm"
57.1752783874814,57.1752783874814,"DEP","IYA","winter","EC-EARTH","svm"
