"Overall","variable","sp","climate","season","method"
0,"ICE","KIN","ACCESS1-0","winter","gbm"
7.53756578371596,"SST","KIN","ACCESS1-0","winter","gbm"
5.10656335867761,"SSTg","KIN","ACCESS1-0","winter","gbm"
5.27018579256687,"WIN","KIN","ACCESS1-0","winter","gbm"
28.9828070592392,"WINu","KIN","ACCESS1-0","winter","gbm"
19.55858006444,"WINv","KIN","ACCESS1-0","winter","gbm"
2.10942351393152,"CUR","KIN","ACCESS1-0","winter","gbm"
2.09066173706016,"CURu","KIN","ACCESS1-0","winter","gbm"
3.75208175088621,"CURv","KIN","ACCESS1-0","winter","gbm"
100,"SSH","KIN","ACCESS1-0","winter","gbm"
8.57253251650819,"SSHg","KIN","ACCESS1-0","winter","gbm"
10.285193828951,"DEP","KIN","ACCESS1-0","winter","gbm"
