"Overall","variable","sp","climate","season","method"
0,"ICE","KIN","CMCC-CM","winter","rf"
46.7857889491329,"SST","KIN","CMCC-CM","winter","rf"
22.849396778589,"SSTg","KIN","CMCC-CM","winter","rf"
36.6158638408531,"WINu","KIN","CMCC-CM","winter","rf"
29.7489477243235,"WINv","KIN","CMCC-CM","winter","rf"
25.2122861611421,"CURu","KIN","CMCC-CM","winter","rf"
13.6013019018591,"CURv","KIN","CMCC-CM","winter","rf"
100,"SSH","KIN","CMCC-CM","winter","rf"
23.5695932650863,"SSHg","KIN","CMCC-CM","winter","rf"
44.3150716629842,"DEP","KIN","CMCC-CM","winter","rf"
