"Overall","variable","sp","climate","season","method"
2.63893633379352,"ICE","KIN","CanESM2","winter","gbm"
2.61153948923605,"SST","KIN","CanESM2","winter","gbm"
4.54507659826512,"SSTg","KIN","CanESM2","winter","gbm"
0.569854360500975,"WIN","KIN","CanESM2","winter","gbm"
9.57971628100769,"WINu","KIN","CanESM2","winter","gbm"
2.77332721787805,"WINv","KIN","CanESM2","winter","gbm"
4.31464351665142,"CUR","KIN","CanESM2","winter","gbm"
0,"CURu","KIN","CanESM2","winter","gbm"
0.0214074549628001,"CURv","KIN","CanESM2","winter","gbm"
100,"SSH","KIN","CanESM2","winter","gbm"
1.84993060166346,"SSHg","KIN","CanESM2","winter","gbm"
4.11636185839551,"DEP","KIN","CanESM2","winter","gbm"
