"Overall","variable","sp","climate","season","method"
0,"ICE","KIN","EC-EARTH","winter","gbm"
0.669325054841309,"SST","KIN","EC-EARTH","winter","gbm"
1.03017819655156,"SSTg","KIN","EC-EARTH","winter","gbm"
1.72080214003765,"WIN","KIN","EC-EARTH","winter","gbm"
19.400417949438,"WINu","KIN","EC-EARTH","winter","gbm"
16.2658865816762,"WINv","KIN","EC-EARTH","winter","gbm"
2.07246885088232,"CUR","KIN","EC-EARTH","winter","gbm"
0.137778462689153,"CURu","KIN","EC-EARTH","winter","gbm"
0.808668424737817,"CURv","KIN","EC-EARTH","winter","gbm"
100,"SSH","KIN","EC-EARTH","winter","gbm"
0.0230965826466888,"SSHg","KIN","EC-EARTH","winter","gbm"
4.70503171981,"DEP","KIN","EC-EARTH","winter","gbm"
