"Overall","variable","sp","climate","season","method"
0,"ICE","KIN","EC-EARTH","winter","rf"
59.7983069160643,"SST","KIN","EC-EARTH","winter","rf"
34.7301632729632,"SSTg","KIN","EC-EARTH","winter","rf"
55.9350204812212,"WINu","KIN","EC-EARTH","winter","rf"
39.0297742281779,"WINv","KIN","EC-EARTH","winter","rf"
22.307046155104,"CURu","KIN","EC-EARTH","winter","rf"
19.720352798891,"CURv","KIN","EC-EARTH","winter","rf"
100,"SSH","KIN","EC-EARTH","winter","rf"
21.2431321707592,"SSHg","KIN","EC-EARTH","winter","rf"
46.2867215049641,"DEP","KIN","EC-EARTH","winter","rf"
