"Obs","Sim","variable","sp","season","climate","method"
0.598562899610953,0.598562899610953,"ICE","KIN","winter","GISS-E2-H-CC","svm"
100,100,"SST","KIN","winter","GISS-E2-H-CC","svm"
0.366798070308866,0.366798070308866,"WINu","KIN","winter","GISS-E2-H-CC","svm"
57.189774986256,57.189774986256,"WINv","KIN","winter","GISS-E2-H-CC","svm"
0,0,"WIN","KIN","winter","GISS-E2-H-CC","svm"
58.4930803916029,58.4930803916029,"CURu","KIN","winter","GISS-E2-H-CC","svm"
39.1170616772973,39.1170616772973,"CURv","KIN","winter","GISS-E2-H-CC","svm"
45.0686611509951,45.0686611509951,"CUR","KIN","winter","GISS-E2-H-CC","svm"
30.2091459112205,30.2091459112205,"SSTg","KIN","winter","GISS-E2-H-CC","svm"
17.1979770854737,17.1979770854737,"DEP","KIN","winter","GISS-E2-H-CC","svm"
