"Overall","variable","sp","season","climate","method"
NA,"WIN","KIN","winter","MIROC-ESM","gam"
NA,"WINu","KIN","winter","MIROC-ESM","gam"
NA,"WINv","KIN","winter","MIROC-ESM","gam"
NA,"CUR","KIN","winter","MIROC-ESM","gam"
NA,"CURu","KIN","winter","MIROC-ESM","gam"
NA,"CURv","KIN","winter","MIROC-ESM","gam"
NA,"SSH","KIN","winter","MIROC-ESM","gam"
NA,"SST","KIN","winter","MIROC-ESM","gam"
NA,"SSHg","KIN","winter","MIROC-ESM","gam"
NA,"SSTg","KIN","winter","MIROC-ESM","gam"
NA,"DEP","KIN","winter","MIROC-ESM","gam"
