"Obs","Sim","variable","sp","season","climate","method"
3.11525950278584,3.11525950278584,"ICE","KIN","winter","MIROC-ESM","svm"
88.6743119894356,88.6743119894356,"SST","KIN","winter","MIROC-ESM","svm"
15.3708312839403,15.3708312839403,"WINu","KIN","winter","MIROC-ESM","svm"
2.94108338832474,2.94108338832474,"WINv","KIN","winter","MIROC-ESM","svm"
19.0119150061952,19.0119150061952,"WIN","KIN","winter","MIROC-ESM","svm"
10.7156961647516,10.7156961647516,"CURu","KIN","winter","MIROC-ESM","svm"
60.8676266234469,60.8676266234469,"CURv","KIN","winter","MIROC-ESM","svm"
28.1002644627939,28.1002644627939,"CUR","KIN","winter","MIROC-ESM","svm"
100,100,"SSH","KIN","winter","MIROC-ESM","svm"
0,0,"SSHg","KIN","winter","MIROC-ESM","svm"
24.1899808032809,24.1899808032809,"SSTg","KIN","winter","MIROC-ESM","svm"
14.8836993811439,14.8836993811439,"DEP","KIN","winter","MIROC-ESM","svm"
