"Obs","Sim","variable","sp","season","climate","method"
15.0947094355121,15.0947094355121,"ICE","KIN","winter","NorESM1-M","svm"
94.5156869141844,94.5156869141844,"SST","KIN","winter","NorESM1-M","svm"
51.9953057090411,51.9953057090411,"WINu","KIN","winter","NorESM1-M","svm"
0,0,"WINv","KIN","winter","NorESM1-M","svm"
51.0841293509499,51.0841293509499,"WIN","KIN","winter","NorESM1-M","svm"
5.62003436389842,5.62003436389842,"CURu","KIN","winter","NorESM1-M","svm"
10.295671359249,10.295671359249,"CURv","KIN","winter","NorESM1-M","svm"
13.7515069011193,13.7515069011193,"CUR","KIN","winter","NorESM1-M","svm"
100,100,"SSH","KIN","winter","NorESM1-M","svm"
10.7929926493565,10.7929926493565,"SSHg","KIN","winter","NorESM1-M","svm"
15.1345702370942,15.1345702370942,"SSTg","KIN","winter","NorESM1-M","svm"
2.61191253133682,2.61191253133682,"DEP","KIN","winter","NorESM1-M","svm"
