"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","ACCESS1-0","summer","gbm"
45.8775410239378,"SST","LMS","ACCESS1-0","summer","gbm"
97.5265737268883,"SSTg","LMS","ACCESS1-0","summer","gbm"
15.3934876372959,"WIN","LMS","ACCESS1-0","summer","gbm"
6.72114988511112,"WINu","LMS","ACCESS1-0","summer","gbm"
21.7150652244342,"WINv","LMS","ACCESS1-0","summer","gbm"
16.678622643488,"CUR","LMS","ACCESS1-0","summer","gbm"
14.9654775287588,"CURu","LMS","ACCESS1-0","summer","gbm"
31.4319916868104,"CURv","LMS","ACCESS1-0","summer","gbm"
100,"SSH","LMS","ACCESS1-0","summer","gbm"
8.53093575890181,"SSHg","LMS","ACCESS1-0","summer","gbm"
10.2258281830544,"DEP","LMS","ACCESS1-0","summer","gbm"
