"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","LMS","summer","ACCESS1-0","svm"
84.2988530118167,84.2988530118167,"SST","LMS","summer","ACCESS1-0","svm"
3.86377250121547,3.86377250121547,"WINu","LMS","summer","ACCESS1-0","svm"
36.632515876427,36.632515876427,"WINv","LMS","summer","ACCESS1-0","svm"
10.8677413250848,10.8677413250848,"WIN","LMS","summer","ACCESS1-0","svm"
27.3485892562359,27.3485892562359,"CURu","LMS","summer","ACCESS1-0","svm"
22.1574358741361,22.1574358741361,"CURv","LMS","summer","ACCESS1-0","svm"
37.7935435196273,37.7935435196273,"CUR","LMS","summer","ACCESS1-0","svm"
100,100,"SSH","LMS","summer","ACCESS1-0","svm"
41.2100778428426,41.2100778428426,"SSHg","LMS","summer","ACCESS1-0","svm"
97.8645502855503,97.8645502855503,"SSTg","LMS","summer","ACCESS1-0","svm"
30.2481528927641,30.2481528927641,"DEP","LMS","summer","ACCESS1-0","svm"
