"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","BCC-CSM1.1","summer","gbm"
40.1939719574835,"SST","LMS","BCC-CSM1.1","summer","gbm"
22.5742452548154,"SSTg","LMS","BCC-CSM1.1","summer","gbm"
20.6244366216364,"WIN","LMS","BCC-CSM1.1","summer","gbm"
10.1069939636411,"WINu","LMS","BCC-CSM1.1","summer","gbm"
13.6414932370019,"WINv","LMS","BCC-CSM1.1","summer","gbm"
6.52852287958182,"CUR","LMS","BCC-CSM1.1","summer","gbm"
8.97422183842359,"CURu","LMS","BCC-CSM1.1","summer","gbm"
35.662329480468,"CURv","LMS","BCC-CSM1.1","summer","gbm"
100,"SSH","LMS","BCC-CSM1.1","summer","gbm"
35.7670183267925,"SSHg","LMS","BCC-CSM1.1","summer","gbm"
6.1861807461286,"DEP","LMS","BCC-CSM1.1","summer","gbm"
