"Obs","Sim","variable","sp","season","climate","method"
8.33931071563035,8.33931071563035,"ICE","LMS","summer","BCC-CSM1.1","svm"
91.7406918710884,91.7406918710884,"SST","LMS","summer","BCC-CSM1.1","svm"
13.0961411241854,13.0961411241854,"WINu","LMS","summer","BCC-CSM1.1","svm"
30.788223619235,30.788223619235,"WINv","LMS","summer","BCC-CSM1.1","svm"
26.8582782537163,26.8582782537163,"WIN","LMS","summer","BCC-CSM1.1","svm"
0,0,"CURu","LMS","summer","BCC-CSM1.1","svm"
3.61088581630595,3.61088581630595,"CURv","LMS","summer","BCC-CSM1.1","svm"
25.3539052538024,25.3539052538024,"CUR","LMS","summer","BCC-CSM1.1","svm"
94.2182955232224,94.2182955232224,"SSH","LMS","summer","BCC-CSM1.1","svm"
38.6866765753284,38.6866765753284,"SSHg","LMS","summer","BCC-CSM1.1","svm"
100,100,"SSTg","LMS","summer","BCC-CSM1.1","svm"
32.9569004106038,32.9569004106038,"DEP","LMS","summer","BCC-CSM1.1","svm"
