"Overall","variable","sp","season","climate","method"
43.6743940875092,"ICE","LMS","summer","CanESM2","ann"
16.3782705590313,"SST","LMS","summer","CanESM2","ann"
46.8076324214491,"WINu","LMS","summer","CanESM2","ann"
45.4754273817991,"WINv","LMS","summer","CanESM2","ann"
31.6589261571063,"WIN","LMS","summer","CanESM2","ann"
50.0783689209295,"CURu","LMS","summer","CanESM2","ann"
21.921273826213,"CURv","LMS","summer","CanESM2","ann"
38.7033084470335,"CUR","LMS","summer","CanESM2","ann"
32.6632483202977,"SSH","LMS","summer","CanESM2","ann"
36.5099433805581,"SSHg","LMS","summer","CanESM2","ann"
0,"SSTg","LMS","summer","CanESM2","ann"
100,"DEP","LMS","summer","CanESM2","ann"
