"Overall","variable","sp","season","climate","method"
NA,"WINv","LMS","summer","CanESM2","gam"
NA,"WINu","LMS","summer","CanESM2","gam"
NA,"WIN","LMS","summer","CanESM2","gam"
NA,"CURu","LMS","summer","CanESM2","gam"
NA,"CURv","LMS","summer","CanESM2","gam"
NA,"CUR","LMS","summer","CanESM2","gam"
NA,"SST","LMS","summer","CanESM2","gam"
NA,"SSH","LMS","summer","CanESM2","gam"
NA,"SSHg","LMS","summer","CanESM2","gam"
NA,"SSTg","LMS","summer","CanESM2","gam"
NA,"DEP","LMS","summer","CanESM2","gam"
