"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","EC-EARTH","summer","rf"
48.5069874284972,"SST","LMS","EC-EARTH","summer","rf"
60.1584487930392,"SSTg","LMS","EC-EARTH","summer","rf"
23.9919941356421,"WINu","LMS","EC-EARTH","summer","rf"
25.0755032760608,"WINv","LMS","EC-EARTH","summer","rf"
18.020015634974,"CURu","LMS","EC-EARTH","summer","rf"
31.9797393339207,"CURv","LMS","EC-EARTH","summer","rf"
100,"SSH","LMS","EC-EARTH","summer","rf"
16.0505743606993,"SSHg","LMS","EC-EARTH","summer","rf"
37.2849576378797,"DEP","LMS","EC-EARTH","summer","rf"
