"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","GISS-E2-H-CC","summer","gbm"
100,"SST","LMS","GISS-E2-H-CC","summer","gbm"
30.1625031418114,"SSTg","LMS","GISS-E2-H-CC","summer","gbm"
18.116954305772,"WIN","LMS","GISS-E2-H-CC","summer","gbm"
29.0623800891202,"WINu","LMS","GISS-E2-H-CC","summer","gbm"
24.9304918294436,"WINv","LMS","GISS-E2-H-CC","summer","gbm"
13.1601289622715,"CUR","LMS","GISS-E2-H-CC","summer","gbm"
23.2239410455898,"CURu","LMS","GISS-E2-H-CC","summer","gbm"
9.9727526592414,"CURv","LMS","GISS-E2-H-CC","summer","gbm"
10.8290295372097,"DEP","LMS","GISS-E2-H-CC","summer","gbm"
