"Overall","variable","sp","season","climate","method"
36.2895491597064,"ICE","LMS","summer","MIROC-ESM","ann"
49.3304068784361,"SST","LMS","summer","MIROC-ESM","ann"
54.9420392268055,"WINu","LMS","summer","MIROC-ESM","ann"
100,"WINv","LMS","summer","MIROC-ESM","ann"
6.71996392773586,"WIN","LMS","summer","MIROC-ESM","ann"
40.1095630952587,"CURu","LMS","summer","MIROC-ESM","ann"
68.6722408875272,"CURv","LMS","summer","MIROC-ESM","ann"
32.7776555918999,"CUR","LMS","summer","MIROC-ESM","ann"
92.1569529146775,"SSH","LMS","summer","MIROC-ESM","ann"
37.0157881777638,"SSHg","LMS","summer","MIROC-ESM","ann"
0,"SSTg","LMS","summer","MIROC-ESM","ann"
55.7074793818263,"DEP","LMS","summer","MIROC-ESM","ann"
