"Overall","variable","sp","season","climate","method"
NA,"WINu","LMS","summer","MIROC-ESM","gam"
0,"WINv","LMS","summer","MIROC-ESM","gam"
NA,"WIN","LMS","summer","MIROC-ESM","gam"
0,"CURu","LMS","summer","MIROC-ESM","gam"
0,"CURv","LMS","summer","MIROC-ESM","gam"
0,"CUR","LMS","summer","MIROC-ESM","gam"
NA,"SST","LMS","summer","MIROC-ESM","gam"
NA,"SSH","LMS","summer","MIROC-ESM","gam"
0,"SSHg","LMS","summer","MIROC-ESM","gam"
0,"SSTg","LMS","summer","MIROC-ESM","gam"
0,"DEP","LMS","summer","MIROC-ESM","gam"
