"Overall","variable","sp","season","climate","method"
0,"ICE","LMS","summer","NorESM1-M","gam"
0,"WINu","LMS","summer","NorESM1-M","gam"
NA,"WINv","LMS","summer","NorESM1-M","gam"
0,"WIN","LMS","summer","NorESM1-M","gam"
0,"CURu","LMS","summer","NorESM1-M","gam"
0,"SST","LMS","summer","NorESM1-M","gam"
NA,"SSH","LMS","summer","NorESM1-M","gam"
0,"SSHg","LMS","summer","NorESM1-M","gam"
NA,"SSTg","LMS","summer","NorESM1-M","gam"
0,"CURv","LMS","summer","NorESM1-M","gam"
0,"DEP","LMS","summer","NorESM1-M","gam"
0,"CUR","LMS","summer","NorESM1-M","gam"
