"Overall","variable","sp","season","climate","method"
11.9597330413112,"ICE","LMS","winter","BCC-CSM1.1","ann"
51.1465672196815,"SST","LMS","winter","BCC-CSM1.1","ann"
74.6613860634046,"WINu","LMS","winter","BCC-CSM1.1","ann"
100,"WINv","LMS","winter","BCC-CSM1.1","ann"
97.8569081071032,"WIN","LMS","winter","BCC-CSM1.1","ann"
23.8392477439654,"CURu","LMS","winter","BCC-CSM1.1","ann"
90.9016607373999,"CURv","LMS","winter","BCC-CSM1.1","ann"
36.4872892502037,"CUR","LMS","winter","BCC-CSM1.1","ann"
43.5343406840357,"SSH","LMS","winter","BCC-CSM1.1","ann"
0,"SSHg","LMS","winter","BCC-CSM1.1","ann"
3.89022300055716,"SSTg","LMS","winter","BCC-CSM1.1","ann"
80.7048446289512,"DEP","LMS","winter","BCC-CSM1.1","ann"
