"Obs","Sim","variable","sp","season","climate","method"
64.4578330755209,64.4578330755209,"ICE","LMS","winter","BCC-CSM1.1","svm"
24.3255489058747,24.3255489058747,"SST","LMS","winter","BCC-CSM1.1","svm"
100,100,"WINu","LMS","winter","BCC-CSM1.1","svm"
49.2458881746844,49.2458881746844,"WINv","LMS","winter","BCC-CSM1.1","svm"
94.1419162332325,94.1419162332325,"WIN","LMS","winter","BCC-CSM1.1","svm"
80.2297212844241,80.2297212844241,"CURu","LMS","winter","BCC-CSM1.1","svm"
83.694588405442,83.694588405442,"CURv","LMS","winter","BCC-CSM1.1","svm"
76.7135898293778,76.7135898293778,"CUR","LMS","winter","BCC-CSM1.1","svm"
28.1802112552901,28.1802112552901,"SSH","LMS","winter","BCC-CSM1.1","svm"
61.9991181706242,61.9991181706242,"SSHg","LMS","winter","BCC-CSM1.1","svm"
50.664673045803,50.664673045803,"SSTg","LMS","winter","BCC-CSM1.1","svm"
0,0,"DEP","LMS","winter","BCC-CSM1.1","svm"
