"Overall","variable","sp","season","climate","method"
16.1855954222476,"ICE","LMS","winter","CMCC-CM","ann"
61.379477751496,"SST","LMS","winter","CMCC-CM","ann"
100,"WINu","LMS","winter","CMCC-CM","ann"
24.9763044718351,"WINv","LMS","winter","CMCC-CM","ann"
80.8335496396325,"WIN","LMS","winter","CMCC-CM","ann"
0,"CURu","LMS","winter","CMCC-CM","ann"
14.1936197855327,"CURv","LMS","winter","CMCC-CM","ann"
26.3561928037939,"CUR","LMS","winter","CMCC-CM","ann"
20.8730513617743,"SSH","LMS","winter","CMCC-CM","ann"
3.20936945240824,"SSHg","LMS","winter","CMCC-CM","ann"
8.03434924288314,"SSTg","LMS","winter","CMCC-CM","ann"
98.7063480425792,"DEP","LMS","winter","CMCC-CM","ann"
