"Obs","Sim","variable","sp","season","climate","method"
51.4379330389394,51.4379330389394,"ICE","LMS","winter","CMCC-CM","svm"
16.034502296758,16.034502296758,"SST","LMS","winter","CMCC-CM","svm"
100,100,"WINu","LMS","winter","CMCC-CM","svm"
1.62823342963846,1.62823342963846,"WINv","LMS","winter","CMCC-CM","svm"
89.6528176307429,89.6528176307429,"WIN","LMS","winter","CMCC-CM","svm"
67.7130684428697,67.7130684428697,"CURu","LMS","winter","CMCC-CM","svm"
85.2403215852947,85.2403215852947,"CURv","LMS","winter","CMCC-CM","svm"
60.6194947936603,60.6194947936603,"CUR","LMS","winter","CMCC-CM","svm"
8.45765435260513,8.45765435260513,"SSH","LMS","winter","CMCC-CM","svm"
55.7440087944219,55.7440087944219,"SSHg","LMS","winter","CMCC-CM","svm"
38.7716124663053,38.7716124663053,"SSTg","LMS","winter","CMCC-CM","svm"
0,0,"DEP","LMS","winter","CMCC-CM","svm"
