"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","CanESM2","winter","gbm"
95.6473674336586,"SST","LMS","CanESM2","winter","gbm"
8.97216355307882,"SSTg","LMS","CanESM2","winter","gbm"
3.64392222769271,"WIN","LMS","CanESM2","winter","gbm"
100,"WINu","LMS","CanESM2","winter","gbm"
39.2643968508359,"WINv","LMS","CanESM2","winter","gbm"
1.61626244105544,"CUR","LMS","CanESM2","winter","gbm"
8.37737702248923,"CURu","LMS","CanESM2","winter","gbm"
15.1045399732694,"CURv","LMS","CanESM2","winter","gbm"
90.219608313269,"SSH","LMS","CanESM2","winter","gbm"
36.3804817002513,"SSHg","LMS","CanESM2","winter","gbm"
3.72120922410816,"DEP","LMS","CanESM2","winter","gbm"
