"Overall","variable","sp","season","climate","method"
0,"ICE","LMS","winter","EC-EARTH","gam"
NA,"DEP","LMS","winter","EC-EARTH","gam"
NA,"WINv","LMS","winter","EC-EARTH","gam"
NA,"WIN","LMS","winter","EC-EARTH","gam"
NA,"WINu","LMS","winter","EC-EARTH","gam"
NA,"CURu","LMS","winter","EC-EARTH","gam"
NA,"CURv","LMS","winter","EC-EARTH","gam"
NA,"SST","LMS","winter","EC-EARTH","gam"
0,"CUR","LMS","winter","EC-EARTH","gam"
NA,"SSH","LMS","winter","EC-EARTH","gam"
NA,"SSHg","LMS","winter","EC-EARTH","gam"
0,"SSTg","LMS","winter","EC-EARTH","gam"
