"Obs","Sim","variable","sp","season","climate","method"
54.2950705294246,54.2950705294246,"ICE","LMS","winter","EC-EARTH","svm"
22.4817740889739,22.4817740889739,"SST","LMS","winter","EC-EARTH","svm"
100,100,"WINu","LMS","winter","EC-EARTH","svm"
0,0,"WINv","LMS","winter","EC-EARTH","svm"
83.9309730873154,83.9309730873154,"WIN","LMS","winter","EC-EARTH","svm"
78.8409510270232,78.8409510270232,"CURu","LMS","winter","EC-EARTH","svm"
68.6685717333655,68.6685717333655,"CURv","LMS","winter","EC-EARTH","svm"
70.4253331127122,70.4253331127122,"CUR","LMS","winter","EC-EARTH","svm"
13.2127957565193,13.2127957565193,"SSH","LMS","winter","EC-EARTH","svm"
60.5661643177847,60.5661643177847,"SSHg","LMS","winter","EC-EARTH","svm"
56.299720645514,56.299720645514,"SSTg","LMS","winter","EC-EARTH","svm"
6.67148775804234,6.67148775804234,"DEP","LMS","winter","EC-EARTH","svm"
