"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","GISS-E2-H-CC","winter","gbm"
100,"SST","LMS","GISS-E2-H-CC","winter","gbm"
9.54523840689257,"SSTg","LMS","GISS-E2-H-CC","winter","gbm"
14.8301242514874,"WIN","LMS","GISS-E2-H-CC","winter","gbm"
45.7525495869208,"WINu","LMS","GISS-E2-H-CC","winter","gbm"
12.902648726413,"WINv","LMS","GISS-E2-H-CC","winter","gbm"
11.7988652442349,"CUR","LMS","GISS-E2-H-CC","winter","gbm"
12.6017522702345,"CURu","LMS","GISS-E2-H-CC","winter","gbm"
11.4582280051906,"CURv","LMS","GISS-E2-H-CC","winter","gbm"
13.3106716951793,"DEP","LMS","GISS-E2-H-CC","winter","gbm"
