"Obs","Sim","variable","sp","season","climate","method"
46.9604451543062,46.9604451543062,"ICE","LMS","winter","GISS-E2-H-CC","svm"
22.0549457975892,22.0549457975892,"SST","LMS","winter","GISS-E2-H-CC","svm"
98.8824863055554,98.8824863055554,"WINu","LMS","winter","GISS-E2-H-CC","svm"
28.8998189084029,28.8998189084029,"WINv","LMS","winter","GISS-E2-H-CC","svm"
80.3468628392206,80.3468628392206,"WIN","LMS","winter","GISS-E2-H-CC","svm"
100,100,"CURu","LMS","winter","GISS-E2-H-CC","svm"
60.9851647387035,60.9851647387035,"CURv","LMS","winter","GISS-E2-H-CC","svm"
98.6960385899679,98.6960385899679,"CUR","LMS","winter","GISS-E2-H-CC","svm"
71.7627468681364,71.7627468681364,"SSTg","LMS","winter","GISS-E2-H-CC","svm"
0,0,"DEP","LMS","winter","GISS-E2-H-CC","svm"
