"Overall","variable","sp","season","climate","method"
100,"ICE","LMS","winter","MIROC-ESM","ann"
58.5094546378375,"SST","LMS","winter","MIROC-ESM","ann"
37.888974987217,"WINu","LMS","winter","MIROC-ESM","ann"
11.5826557420941,"WINv","LMS","winter","MIROC-ESM","ann"
48.8425027900689,"WIN","LMS","winter","MIROC-ESM","ann"
20.6500320093316,"CURu","LMS","winter","MIROC-ESM","ann"
36.351919774676,"CURv","LMS","winter","MIROC-ESM","ann"
21.6417907294727,"CUR","LMS","winter","MIROC-ESM","ann"
39.3175788137161,"SSH","LMS","winter","MIROC-ESM","ann"
4.45657390787455,"SSHg","LMS","winter","MIROC-ESM","ann"
0,"SSTg","LMS","winter","MIROC-ESM","ann"
50.3044170591914,"DEP","LMS","winter","MIROC-ESM","ann"
