"Overall","variable","sp","season","climate","method"
NA,"WIN","LMS","winter","MIROC-ESM","gam"
0,"WINu","LMS","winter","MIROC-ESM","gam"
NA,"WINv","LMS","winter","MIROC-ESM","gam"
0,"DEP","LMS","winter","MIROC-ESM","gam"
NA,"CURv","LMS","winter","MIROC-ESM","gam"
0,"CUR","LMS","winter","MIROC-ESM","gam"
0,"CURu","LMS","winter","MIROC-ESM","gam"
NA,"SST","LMS","winter","MIROC-ESM","gam"
NA,"SSH","LMS","winter","MIROC-ESM","gam"
NA,"SSHg","LMS","winter","MIROC-ESM","gam"
NA,"SSTg","LMS","winter","MIROC-ESM","gam"
